ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Conseil
"316";"Marque-page Entête Serpentard";"NN8716";"5.85";"11.95";"2.04";"41.3%";"9.90";"9.90";"9.90";"-";"-";"9.90";"-";"Trop cher (Baisser !)"
"317";"Journal - Gryffondor";"NN7337";"16.25";"32.90";"2.02";"40.7%";"32.99";"32.99";"32.99";"-";"32.99";"-";"0.00";"Marge faible (Vérifier)"
"318";"Journal - Serpentard";"NN7339";"16.25";"32.90";"2.02";"40.7%";"32.99";"32.99";"32.99";"-";"32.99";"-";"0.00";"Marge faible (Vérifier)"
"319";"Baguette magique boite ollivander Queenie Goldstein";"NN5626";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"320";"Journal - Poufsouffle";"NN7341";"16.25";"32.90";"2.02";"40.7%";"32.99";"32.99";"32.99";"-";"32.99";"-";"0.00";"Marge faible (Vérifier)"
"321";"Baguette magique boite ollivander Porpentina Goldstein";"NN5624";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"322";"Journal - Serdaigle";"NN7343";"16.25";"32.90";"2.02";"40.7%";"32.99";"32.99";"32.99";"-";"32.99";"-";"0.00";"Marge faible (Vérifier)"
"323";"Baguette magique boîte Ollivander Norbert Dragonneau";"NN5622";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"324";"Boule de cristal de divination";"NN7364";"35.10";"64.95";"1.85";"35.2%";"65.90";"65.90";"65.90";"-";"-";"65.90";"0.00";"Marge faible (Vérifier)"
"325";"Cube Mystère - Voyage à Poudlard";"NN9100";"12.38";"24.99";"2.02";"40.6%";"24.99";"24.99";"24.99";"-";"24.99";"-";"-";"Marge faible (Vérifier)"
"326";"Baguette magique boîte Ollivander Nicolas Flamel";"NN8079";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"327";"Puzzle - Couverture du Magazine le Chicaneur";"NN9453";"12.35";"24.90";"2.02";"40.5%";"24.90";"24.90";"24.90";"24.90";"-";"-";"0.00";"Marge faible (Vérifier)"
"328";"Baguette magique boîte Ollivander Gellert Grindelwald";"NN8086";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"329";"Baguette magique boîte Ollivander Albus Dumbledore";"NN9906";"20.80";"39.95";"1.92";"37.5%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"330";"Oeuf d'or - taille réelle";"NN7267";"48.10";"89.95";"1.87";"35.8%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"331";"Pipe de Gandalf";"NN1233";"42.90";"79.95";"1.86";"35.6%";"79.90";"79.90";"79.90";"79.90";"-";"-";"-";"Marge faible (Vérifier)"
"332";"Peluche et coussin de la Maison de Serpentard";"NN7043";"23.40";"44.95";"1.92";"37.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"333";"Peluche et coussin de la Maison de Gryffondor";"NN7042";"23.40";"44.95";"1.92";"37.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
