"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"social","instagram","Metz",19,20
"search","google","Montreuil",19,20
"social","instagram","Nîmes",19,20
"direct",,"Suzano",20,20
"direct",,"Can Tho",20,20
"direct",,"Fonsorbes",1,19
"direct",,"Jacareí",19,19
"direct",,"Tourcoing",3,19
"direct",,"Carvin",3,19
"social","instagram","Déville-lès-Rouen",9,19
"direct",,"Lieuvillers",6,19
"direct",,"Quanzhou",19,19
"direct",,"Nogent-sur-Oise",6,19
"search","google","Brest",19,19
"social","facebook","Charleville-Mézières",8,19
"social","instagram","Levallois-Perret",14,19
"direct",,"Anaheim",19,19
"social","facebook","Toulon",18,19
"direct",,"Zurich",15,19
"direct",,"Bourges",19,19
"social","instagram","Colombes",15,19
"unknown","mesenvies",,18,19
"social","facebook","Arras",15,19
"direct",,"La Loupe",16,19
"direct",,"Camaçari",18,18
"direct",,"São Carlos",18,18
"direct",,"Shenyang",18,18
"direct",,"Mons-en-Barœul",17,18
"direct",,"Louviers",9,18
"unknown","mesenvies","Lésigny",18,18
"direct",,"Indaiatuba",18,18
"social","instagram","Villejuif",17,18
"search","google","Pau",14,18
"social","facebook","Beauvais",11,18
"direct",,"Kunming",18,18
"social","instagram","Colmar",7,18
"direct",,"Vila Velha",18,18
"direct",,"Bauru",18,18
"direct",,"Quimper",6,18
"direct",,"Praia Grande",18,18
"social","facebook","Thionville",16,18
"direct",,"Gustavo Adolfo Madero",18,18
"direct",,"Dieppe",10,18
"unknown","mesenvies","Sainghin-en-Weppes",17,17
"social","facebook","Brest",15,17
"direct",,"Diadema",17,17
"search","google","Asnières-sur-Seine",17,17
"direct",,"Macaé",17,17
"social","instagram","Compiègne",17,17
"search","google","Poitiers",14,17
"direct",,"Chicago",17,17
"social","facebook","Quimper",15,17
"direct",,"Paulista",17,17
"direct",,"Montreuil",11,17
"social","facebook","Lens",11,17
"social","instagram","Noisy-le-Grand",16,17
"direct",,"Fort Worth",17,17
"direct",,"Caruaru",17,17
"direct",,"Viamão",17,17
"direct",,"Huế",17,17
"direct",,"Passo Fundo",17,17
"direct",,"Orchies",17,17
"direct",,"Besançon",13,17
"search","google","Bois-Guillaume",15,17
"social","instagram","Besançon",11,17
"direct",,"Presidente Prudente",16,16
"direct",,"Dalian",16,16
"search","google","Avignon",16,16
"social","instagram","Aix-en-Provence",14,16
"direct",,"Aix-en-Provence",11,16
"direct",,"Hefei",16,16
"direct",,"Vitry-sur-Seine",7,16
"direct",,"Governador Valadares",16,16
"direct",,"Changchun",16,16
"social","facebook","Limoges",11,16
"search","google","Créteil",15,16
"social","instagram","Le Petit-Quevilly",12,16
"direct",,"La Rochelle",11,16
"direct",,"Petrópolis",16,16
"search","google","Le Petit-Quevilly",16,16
"direct",,"Wenzhou",16,16
"direct",,"Bragança Paulista",16,16
"social","instagram","Cergy",16,16
"social","instagram","Franconville",14,16
"direct",,"São Vicente",16,16
"direct",,"Palmas",16,16
"direct",,"Châteaurenard",2,16
"direct",,"Gravataí",16,16
"direct",,"Porto Seguro",16,16
"direct",,"Annecy",6,16
"search","google","La Roche-sur-Yon",9,16
"search","google","Ajaccio",12,16
"direct",,"Biên Hòa",16,16
"social","facebook","Annemasse",8,15
"social","facebook","Cannes",8,15
"social","instagram","Forges-les-Eaux",5,15
"direct",,"Criciúma",15,15
"social","instagram","Saint-Étienne-du-Rouvray",14,15
"direct",,"Formiga",15,15
"direct",,"Sotteville-lès-Rouen",9,15
"search","google","Chambéry",13,15
"direct",,"Clermont-Ferrand",15,15
"direct",,"Elbeuf",13,15
"direct",,"Americana",15,15
"social","facebook","Roubaix",13,15
"search","google","Brionne",5,15
"direct",,"Nantong",15,15
"direct",,"Jaboatão dos Guararapes",15,15
"social","instagram","Troyes",9,15
"search","google","Bourges",13,15
"social","facebook","Bourges",14,15
"social","facebook","Vernon",10,15
"search","google","Petit-Couronne",8,15
"direct",,"Taboão da Serra",15,15
"direct",,"Bobigny",15,15
"search","google","Calais",4,15
"unknown","chatgpt",,8,15
"search","google","Nanterre",14,15
"social","instagram","Tarbes",7,15
"social","facebook","La Rochelle",10,15
"direct",,"Canteleu",7,15
"direct",,"Aubervilliers",10,15
"social","instagram","Thionville",10,15
"direct",,"Arapiraca",15,15
"direct",,"Ipatinga",15,15
"direct",,"Ilhéus",14,14
"social","instagram","Saint-Brieuc",9,14
"direct",,"Várzea Paulista",14,14
"direct",,"Saint-Leu-d'Esserent",3,14
"direct",,"Mont-de-Marsan",2,14
"direct",,"Novo Hamburgo",14,14
"direct",,"Roubaix",11,14
"direct",,"Campina Grande",14,14
"social","instagram","Vannes",13,14
"search","google","Vannes",13,14
"direct",,"Santo Domingo Este",14,14
"direct",,"Açu",14,14
"social","instagram","Cannes",12,14
"direct",,"Péronne",2,14
"direct",,"Ponta Grossa",14,14
"social","instagram","Yzeure",5,14
"direct",,"Lorient",6,14
"direct",,"Teófilo Otoni",14,14
"direct",,"Zhengzhou",14,14
"search","google","Lausanne",12,14
"social","facebook","Troyes",6,14
"social","instagram","Ajaccio",8,14
"direct",,"San Diego",14,14
"search","google","Liévin",14,14
"search","google","Cannes",13,14
"direct",,"Villejuif",11,14
"direct",,"San Salvador",14,14
"direct",,"Araranguá",14,14
"direct",,"Saint-Étienne-du-Rouvray",11,14
"social","instagram","Grand-Couronne",10,14
"direct",,"Cuiabá",14,14
"direct",,"Ananindeua",14,14
"social","instagram","Saint-Nazaire",10,14
"search","google","Vénissieux",14,14
"direct",,"Prineville",14,14
"social","facebook","Boardman",14,14
"direct",,"Imperatriz",14,14
"direct",,"Houston",14,14
"direct",,"Hải Dương",14,14
"direct",,"Gramado",14,14
"search","google","Meaux",12,14
"search","google","Mérignac",10,13
"direct",,"Carcassonne",2,13
"direct",,"Belford Roxo",13,13
"social","facebook","Carquefou",3,13
"search","google","Saint-Brieuc",13,13
"direct",,"Sumaré",13,13
"direct",,"Garanhuns",13,13
"search","google","Montigny-le-Bretonneux",9,13
"social","facebook","Val-de-Reuil",12,13
"search","google","Thionville",13,13
"social","instagram","Le Lamentin",5,13
"search","google","Le Tampon",13,13
"direct",,"Santa Luzia",13,13
"search","google","Aubervilliers",12,13
"direct",,"Pará de Minas",13,13
"search","google","Lens",13,13
"social","facebook","Saint-Denis",9,13
"direct",,"Colorado Springs",13,13
"direct",,"Boulogne-Billancourt",7,13
"direct",,"Pindamonhangaba",13,13
"direct",,"Cascavel",13,13
"social","instagram","Annemasse",12,13
"direct",,"Olivet",5,13
"search","google","Annemasse",13,13
"direct",,"Vaugrigneuse",1,13
"social","instagram","Chaumont",5,13
"direct",,"Rio Grande",13,13
"direct",,"Palhoça",13,13
"social","instagram","Maintenon",2,13
"search","google","Boulogne-Billancourt",11,13
"direct",,"Ningbo",13,13
"direct",,"Herbignac",1,13
"social","facebook","Ajaccio",5,13
"social","instagram","Elbeuf",10,13
"social","instagram","Gretz-Armainvilliers",11,13
"direct",,"Libourne",3,13
"direct",,"Patos de Minas",13,13
"direct",,"Macapá",13,13
"search","google","Quimper",13,13
"search","google","Laval",13,13
"search","google","Sartrouville",13,13
"direct",,"Bắc Ninh",13,13
"direct",,"Warsaw",13,13
"direct",,"Dijon",13,13
"direct",,"Dourados",12,12
"social","facebook","Besançon",12,12
"direct",,"Senhor do Bonfim",12,12
"direct",,"Nîmes",8,12
"search","google","Nogent-sur-Oise",9,12
"social","facebook","Château-Thierry",9,12
"direct",,"Ribeauvillé",3,12
"social","facebook","Cherbourg",12,12
"social","facebook","Noisy-le-Grand",11,12
"direct",,"Miami",12,12
"direct",,"Nanning",12,12
"direct",,"Juazeiro do Norte",12,12
"search","google","Saint-Nazaire",12,12
"social","instagram","Mulhouse",10,12
"direct",,"Foz do Iguaçu",12,12
"direct",,"Balneário Camboriú",12,12
"direct",,"Créteil",8,12
"social","instagram","Puteaux",9,12
"direct",,"Pouso Alegre",12,12
"social","instagram","Saint-Denis",11,12
"search","google","Istres",9,12
"direct",,"Magé",12,12
"direct",,"Mogi das Cruzes",12,12
"social","facebook","Mantes-la-Jolie",3,12
"direct",,"Val-de-Reuil",10,12
"direct",,"Maricá",12,12
"direct",,"Beauharnois",12,12
"direct",,"Vernon",7,12
"social","facebook","Couzeix",5,12
"direct",,"São Leopoldo",12,12
"social","instagram","Annecy",11,12
"search","google","La Ferté-Gaucher",1,12
"social","instagram","Chauny",7,12
"direct",,"Pau",12,12
"direct",,"Benito Juarez",12,12
"search","google","Levallois-Perret",11,12
"direct",,"Franca",12,12
"direct",,"Fuzhou",12,12
"direct",,"Meaux",7,12
"social","facebook","Saint-Nazaire",11,12
