"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Product","/products/plaid-chats-et-fleurs",28,28,1,0
"Collection","/collections/seigneur-des-anneaux-papeterie/marque-pages",26,28,2,1
"Product","/products/baguette-de-cedric-diggory",28,28,0,0
"Product","/products/pins-fleury-et-bott",28,28,0,0
"Product","/products/carte-du-maraudeur",28,28,1,0
"Product","/products/pack-vetements-6-pieces-poufsouffle",26,28,0,0
"Product","/products/dechp16",28,28,0,0
"Product","/products/set-de-4-marque-pages-le-seigneur-des-anneaux",28,28,0,0
"Product","/products/bitty-pop-deluxe-owl-emporium-royaume-du-hibou",27,28,0,0
"Product","/products/hppc09",28,28,2,2
"Product","/products/fbbb04",28,28,0,0
"Product","/products/pins-les-trois-balais",28,28,0,0
"Product","/products/cr5053",28,28,0,0
"Product","/products/diademe-de-rowena-serdaigle",22,27,0,0
"Product","/products/20-cartes-postales-a-colorier",27,27,0,0
"Product","/products/pins-weasley-weasley",27,27,2,1
"Product","/products/cadre-photo-serpent-dore",26,27,4,1
"Product","/products/porte-cles-sac-a-dos-pull-de-harry",27,27,1,0
"Product","/products/baguette-magique-boite-ollivander-albus-dumbledore",25,27,0,0
"Product","/products/marque-page-entete-poudlard",27,27,1,0
"Product","/products/bonnet-a-pompon-serdaigle",25,27,0,0
"Product","/products/suspension-honeydukes-harry-potter-decoration-metal",27,27,1,0
"Product","/products/pins-dragees-de-bertie-crochue",27,27,0,0
"Product","/products/marque-page-dore-chat",27,27,0,0
"Product","/products/mug-renard-endormi",26,27,2,0
"Collection","/collections/harry-potter-friandises-1/Boissons",23,27,0,0
"Product","/products/pack-anneau-unique-et-marque-page-metal",27,27,1,1
"Product","/products/decorations-sapin-hermione",27,27,0,0
"Product","/products/echarpe-serpentard",27,27,0,0
"Product","/products/carte-de-voeux-pailletee-ange-rousse-et-trompette",27,27,1,0
"Collection","/collections/harry-potter-bijoux",24,27,1,1
"Product","/products/harry-potter-et-lordre-du-phenix-serpentard",27,27,0,0
"Product","/products/marque-page-vitrail-vache-au-soleil-couchant",27,27,0,0
"Product","/products/gants-tactiles-maison-poufsouffle",27,27,0,0
"Product","/products/nn7580",25,27,0,0
"Product","/products/trousse-de-toilette-potions",25,27,2,1
"Product","/products/boule-de-cristal-violette-et-support",22,26,0,0
"Product","/products/peluche-vif-dor",26,26,1,0
"Product","/products/art-print-ministere-de-la-magie-du-bresil",26,26,0,0
"Product","/products/marque-page-jane-austen",26,26,0,0
"Product","/products/collier-chocogrenouille",26,26,0,0
"Product","/products/gants-tactiles-serdaigle",25,26,0,0
"Product","/products/mug-livre-coffee-books",25,26,5,2
"Product","/products/harry-potter-et-le-prince-de-sang-mele-poche",24,26,0,0
"Product","/products/ensemble-tasse-et-chaussettes-de-noel-pain-depices",25,26,4,1
"Product","/products/potion-phenix",19,26,0,0
"Product","/products/fbbb02",26,26,0,0
"Product","/products/decoration-de-noel-vif-d-or",26,26,0,0
"Collection","/collections/harry-potter-decorations/objets-decos",26,26,1,0
"Product","/products/stylo-poufsouffle",26,26,0,0
"Product","/products/crayon-a-papier-poufsouffle",26,26,0,0
"Product","/products/abytab024",26,26,0,0
"Product","/products/badge-weasley-farces-pour-sorciers-minalima",26,26,0,0
"Product","/products/hpbb11",26,26,0,0
"Product","/products/carte-de-noel-lapins-dans-la-nuit",26,26,0,0
"Product","/products/mini-suspension-poudlard-express",26,26,0,0
"Product","/products/nn7062",19,25,2,0
"Product","/products/baguette-de-celebration-sortilege-du-patronus",23,25,1,1
"Product","/products/seigneur-des-anneaux-set-de-cartes-postales-1",24,25,0,0
