"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"132";"Cravate kid Serdaigle - Logo tissé";"Cravates";"N/A";"8.60";"Inconnu";"";"19.95";"0.200";"CR1143";"";"0.00";"";"14025";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_132.jpg";"2";"Vêtements > Cravates";"0.00";""
"133";"Cravate kid Poufsouffle - logo tissé";"Cravates";"N/A";"8.60";"Inconnu";"";"19.95";"0.200";"CR1144";"";"0.00";"";"14024";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_133.jpg";"3";"Vêtements > Cravates";"0.00";""
"134";"Robe de Quidditch personnalisable (enfants) - Gryffondor";"Robes de sorciers";"N/A";"39.95";"Inconnu";"";"89.95";"0.200";"CR1221KIDS";"";"71.96";"";"14022";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_134.jpg";"0";"Vêtements > Robes de sorciers";"0.00";""
"135";"Robe de Quidditch personnalisable (enfants) - Serpentard";"Robes de sorciers";"N/A";"39.95";"Inconnu";"";"89.95";"0.200";"CR1222KIDS";"";"71.96";"";"14021";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_135.jpg";"1";"Vêtements > Robes de sorciers";"0.00";""
"136";"Ensemble de 55 stickers Harry Potter";"Stickers";"N/A";"2.80";"Inconnu";"";"5.95";"0.200";"CR5200";"";"0.00";"";"14020";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_136.jpg";"3";"Papeterie > Stickers";"0.00";""
"137";"Pré-au-Lard - Les Trois Balais - puzzle 3D";"Jeux et puzzles";"N/A";"18.99";"Inconnu";"";"37.95";"0.200";"W3D1012";"";"0.00";"";"14019";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_137.jpg";"0";"Jeux et puzzles";"0.00";""
"138";"Porte-clés Reliques de la mort";"Porte-clés";"N/A";"5.95";"Inconnu";"";"12.99";"0.200";"EKH0054";"";"0.00";"";"14018";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_138.jpg";"2";"Maison et accessoires > Porte-clés";"0.00";""
"140";"Sirius Black Wanted Poster";"Posters";"N/A";"7.15";"MinaLima";"";"14.99";"0.200";"HPP12";"";"0.00";"";"14016";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_140.jpg";"16";"Papeterie > Posters";"0.00";""
"141";"Poster - Bombabouse par Weasley, Farces pour sorciers facétieux";"Posters";"N/A";"7.15";"MinaLima";"";"14.99";"0.200";"HPP15F";"";"0.00";"";"14015";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_141.jpg";"0";"Papeterie > Posters";"0.00";""
"142";"Poster - Undesirable  No.1 Harry Potter";"Posters";"N/A";"4.81";"MinaLima";"";"14.99";"0.200";"HPP11";"";"0.00";"";"14014";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_142.jpg";"8";"Papeterie > Posters";"0.00";""
