"Code-barres";"id";"id Déclinaison";"Libellé";"Déclinaison";"Ref. fournisseur";"Point de vente";"Prix de vente";"Prix soldé";"Prix d'achat HT";"points +";"points -"
"5060425401689";"153";"0";"Journal - Poufsouffle House";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425403669";"155";"0";"Poudlard Map Poster";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425401696";"156";"0";"Journal - Serdaigle House";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425401702";"157";"0";"Journal - Serpentard House";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425401399";"158";"0";"Lot de 20 cartes postales - les couvertures de livres de Poudlard";"";"";"0";"15.99";"0.00";"0.00";"0";"0"
"5060425401092";"159";"0";"Poster - Daily Prophet Harry Potter Undesirable  No.1";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425403416";"162";"0";"Set - Lettre d'acceptation à Poudlard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5055583417061";"163";"0";"Marque-page Poufsouffle";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"5055583411267";"164";"0";"Pin's Vif d'or";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"(à(((_"'&èàè_";"165";"0";"Marque-page Serdaigle - Harry Potter";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5055583417078";"165";"0";"Marque-page Serdaigle - Harry Potter";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5055583406621";"168";"0";"Collier Reliques de la mort";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"5055583404788";"171";"0";"Collier Vif d'or";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"5060425400989";"172";"0";"Lot de 20 cartes postales - The Daily Prophet";"";"";"0";"15.99";"0.00";"0.00";"0";"0"
"5060425402013";"173";"0";"Lot de 20 cartes postales - Ministry of Magic";"";"";"0";"15.99";"0.00";"0.00";"0";"0"
"5060425403218";"174";"0";"Poster Maledictus";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425401405";"175";"0";"Lot de 20 cartes postales - la série Poudlard";"";"";"0";"15.99";"0.00";"0.00";"0";"0"
"5060425402006";"176";"0";"Lot de 20 cartes postales - The Weasleys' Wizard Wheezes Series";"";"";"0";"15.99";"0.00";"0.00";"0";"0"
"5060425401528";"177";"0";"Carte de voeux - Daily Prophet - Harry Potter Undesirable  No-1";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401559";"178";"0";"Carte de voeux lenticulaire Harry Potter - Have you seen this wizard?";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403652";"179";"0";"Carte de voeux lenticulaire - New Headmaster for Poudlard";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401573";"180";"0";"Carte 2 volets livre Advanced Potion-Making - Edition II";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401580";"181";"0";"Carte 2 volets Poudlard: A History";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401627";"182";"0";"Carte 2 volets Eeylop's Owl Emporium";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5055453465314";"183";"0";"Mug Poufsouffle";"";"";"0";"14.90";"0.00";"0.00";"0";"0"
"5060425401610";"184";"0";"Carte 2 volets Ticket Poudlard";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401603";"185";"0";"Carte 2 volets Carte du Maraudeur";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401597";"186";"0";"Carte 2 volets Les Animaux Fantastiques";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401634";"187";"0";"Carte 2 volets Blason de Poudlard";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402822";"188";"0";"Carte de voeux lenticulaire Mass Breakout From Azkaban";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402839";"189";"0";"Carte de voeux lenticulaire Bellatrix Lestrange Wanted";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402884";"190";"0";"Carte 2 volets Saule Cogneur";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402877";"191";"0";"Carte 2 volets Blason Serpentard";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402860";"192";"0";"Carte 2 volets Blason Serdaigle";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402853";"193";"0";"Carte 2 volets Blason Poufsouffle";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402891";"194";"0";"Carte 2 volets Quidditch World Cup";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402907";"195";"0";"Carte 2 volets Tapisserie famille Black";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402921";"196";"0";"Carte 2 volets Alphabet Harry Potter";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402815";"197";"0";"Carte de voeux lenticulaire The Daily Prophet - Boy Who Lived";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402969";"198";"0";"Carte 2 volets illustration Advanced Potion-Making";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402952";"199";"0";"Carte 2 volets The Quibbler";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425402945";"200";"0";"Carte 2 volets Plantes aquatiques";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403522";"201";"0";"Bertie Crochue- Carte de voeux - Harry Potter";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401535";"202";"0";"Carte de voeux lenticulaire Dumbledore - Daft or dangerous ?";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401542";"203";"0";"Carte de voeux lenticulare - Harry Potter - Ministry Undesirable No-1";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403546";"204";"0";"Secrets of the Darkest Art - Carte de voeux - Harry Potter";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403591";"205";"0";"Retourneur de Temps - Carte de voeux - Harry Potter";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403577";"206";"0";"Carte de Poudlard - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403560";"207";"0";"Le Terrier - Carte postale";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403553";"208";"0";"You're a Wizard Harry - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403607";"209";"0";"Plume d'Ombrage - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403614";"210";"0";"Beedle The Bard - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403638";"211";"0";"Romilda Vane Carte de Saint Valentin - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425401245";"212";"0";"Lot de magnets - Livre Couvertures";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
"5060425403539";"213";"0";"Chocogrenouilles - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403584";"214";"0";"Yule Ball - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5055583406638";"215";"0";"Boucles d'oreilles Reliques de la mort";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5055583412592";"217";"0";"Pins Retourneur de temps immobile";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5055583411243";"220";"0";"Pins Reliques de la mort";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5055583411250";"221";"0";"Pins Quai 9 3/4";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425401153";"222";"0";"Lot de 3 badges Weasley";"";"";"0";"9.99";"0.00";"0.00";"0";"0"
"665541005121";"223";"0";"Hutte d'Hagrid - puzzle 3D Wrebbit";"";"";"0";"34.95";"0.00";"0.00";"0";"0"
"4895205604773";"227";"0";"Moule à Chocogrenouille en chocolat + 6 boîtes Chocogrenouille + 12 cartes de sorciers";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603431";"227";"0";"Moule à Chocogrenouille en chocolat + 6 boîtes Chocogrenouille + 12 cartes de sorciers";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"'_ç(éà(-à"ç&é";"228";"0";"Bannière Murale Serpentard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603912";"228";"0";"Bannière Murale Serpentard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603929";"229";"0";"Bannière Murale Serdaigle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205603936";"230";"0";"Bannière Murale Poufsouffle";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205600423";"231";"0";"Sac en toile - Botruc Pickett";"";"";"0";"19.95";"0.00";"0.00";"0";"0"
"4895205603905";"232";"0";"Bannière Murale Gryffondor";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"5060425403225";"234";"0";"Poster Le Cirque Arcanus";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425403232";"235";"0";"Poster Oni Oni";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
