"id";"Libellé";"En ligne";"Catégorie";"Marque";"Type de déclinaison";"Déclinaison";"id Déclinaison";"Code-barres";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Prix soldé";"points +";"points -";"La Muchette"
"172";"Lot de 20 cartes postales - The Daily Prophet";"1";"Cartes";"";"0";"";"0";"DPP01";"5.41";"MinaLima";"";"15.99";"0.200";"0.00";"0";"0";"5"
"173";"Lot de 20 cartes postales - Ministry of Magic";"1";"Cartes";"";"0";"";"0";"HPC07";"5.41";"MinaLima";"";"15.99";"0.200";"0.00";"0";"0";"1"
"174";"Poster Maledictus";"1";"Posters";"";"0";"";"0";"F2POC01";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"175";"Lot de 20 cartes postales - la série Poudlard";"1";"Cartes";"";"0";"";"0";"HPC05";"5.41";"MinaLima";"";"15.99";"0.200";"0.00";"0";"0";"5"
"176";"Lot de 20 cartes postales - The Weasleys' Wizard Wheezes Series";"1";"Cartes";"";"0";"";"0";"HPC06";"5.41";"MinaLima";"";"15.99";"0.200";"0.00";"0";"0";"5"
"177";"Carte de voeux - Daily Prophet - Harry Potter Undesirable  No-1";"1";"Cartes";"";"0";"";"0";"HPCARD11";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"12"
"178";"Carte de voeux lenticulaire Harry Potter - Have you seen this wizard?";"1";"Cartes";"";"0";"";"0";"HPCARD16";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"3"
"179";"Carte de voeux lenticulaire - New Headmaster for Poudlard";"1";"Cartes";"";"0";"";"0";"HPCARD14";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"8"
"180";"Carte 2 volets livre Advanced Potion-Making - Edition II";"1";"Cartes";"";"0";"";"0";"HPCARD20";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"10"
"181";"Carte 2 volets Poudlard: A History";"1";"Cartes";"";"0";"";"0";"HPCARD24";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"7"
"182";"Carte 2 volets Eeylop's Owl Emporium";"1";"Cartes";"";"0";"";"0";"HPCARD30";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"12"
"184";"Carte 2 volets Ticket Poudlard";"1";"Cartes";"";"0";"";"0";"HPCARD29";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"11"
"185";"Carte 2 volets Carte du Maraudeur";"1";"Cartes";"";"0";"";"0";"HPCARD28";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"186";"Carte 2 volets Les Animaux Fantastiques";"1";"Cartes";"";"0";"";"0";"HPCARD25";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"4"
"187";"Carte 2 volets Blason de Poudlard";"1";"Cartes";"";"0";"";"0";"HPCARD31";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"188";"Carte de voeux lenticulaire Mass Breakout From Azkaban";"1";"Cartes";"";"0";"";"0";"HPCARD32";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"9"
"189";"Carte de voeux lenticulaire Bellatrix Lestrange Wanted";"1";"Cartes";"";"0";"";"0";"HPCARD33";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"12"
"190";"Carte 2 volets Saule Cogneur";"1";"Cartes";"";"0";"";"0";"HPCARD38";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"191";"Carte 2 volets Blason Serpentard";"1";"Cartes";"";"0";"";"0";"HPCARD37";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"192";"Carte 2 volets Blason Serdaigle";"1";"Cartes";"";"0";"";"0";"HPCARD36";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"9"
"193";"Carte 2 volets Blason Poufsouffle";"1";"Cartes";"";"0";"";"0";"HPCARD35";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"3"
"194";"Carte 2 volets Quidditch World Cup";"1";"Cartes";"";"0";"";"0";"HPCARD39";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"8"
"195";"Carte 2 volets Tapisserie famille Black";"1";"Cartes";"";"0";"";"0";"HPCARD40";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"12"
"196";"Carte 2 volets Alphabet Harry Potter";"1";"Cartes";"";"0";"";"0";"HPCARD42";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"197";"Carte de voeux lenticulaire The Daily Prophet - Boy Who Lived";"1";"Cartes";"";"0";"";"0";"HPCARD47";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"198";"Carte 2 volets illustration Advanced Potion-Making";"1";"Cartes";"";"0";"";"0";"HPCARD46";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"2"
"199";"Carte 2 volets The Quibbler";"1";"Cartes";"";"0";"";"0";"HPCARD45";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"7"
"200";"Carte 2 volets Plantes aquatiques";"1";"Cartes";"";"0";"";"0";"HPCARD44";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"2"
"201";"Bertie Crochue- Carte de voeux - Harry Potter";"1";"Cartes";"";"0";"";"0";"HPCARD48";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"9"
"202";"Carte de voeux lenticulaire Dumbledore - Daft or dangerous ?";"1";"Cartes";"";"0";"";"0";"HPCARD12";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"9"
"203";"Carte de voeux lenticulare - Harry Potter - Ministry Undesirable No-1";"1";"Cartes";"";"0";"";"0";"HPCARD15";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"4"
"204";"Secrets of the Darkest Art - Carte de voeux - Harry Potter";"1";"Cartes";"";"0";"";"0";"HPCARD54";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"0"
"205";"Retourneur de Temps - Carte de voeux - Harry Potter";"1";"Cartes";"";"0";"";"0";"HPCARD60";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"5"
"206";"Carte de Poudlard - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD57";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"14"
"207";"Le Terrier - Carte postale";"1";"Cartes";"";"0";"";"0";"HPCARD56";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"6"
"208";"You're a Wizard Harry - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD55";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"10"
"209";"Plume d'Ombrage - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD61";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"0"
"210";"Beedle The Bard - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD62";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"0"
"211";"Romilda Vane Carte de Saint Valentin - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD64";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"10"
"212";"Lot de magnets - Livre Couvertures";"1";"Décorations";"";"0";"";"0";"HPM02";"6.61";"";"";"19.99";"0.200";"10.00";"0";"0";"0"
"213";"Chocogrenouilles - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD49";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"7"
"214";"Yule Ball - Carte de voeux";"1";"Cartes";"";"0";"";"0";"HPCARD58";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"6"
"215";"Boucles d'oreilles Reliques de la mort";"1";"Boucles d'oreilles";"";"0";"";"0";"EWE0054";"5.75";"";"";"12.99";"0.200";"0.00";"0";"0";"3"
"217";"Pins Retourneur de temps immobile";"1";"Badges et Pin's";"";"0";"";"0";"EHPPB0100";"3.35";"";"";"7.99";"0.200";"0.00";"0";"0";"0"
"220";"Pins Reliques de la mort";"1";"Badges et Pin's";"";"0";"";"0";"EHPPB0054";"3.35";"";"";"7.99";"0.200";"0.00";"0";"0";"0"
"221";"Pins Quai 9 3/4";"1";"Badges et Pin's";"";"0";"";"0";"EHPPB0011";"3.35";"";"";"7.99";"0.200";"0.00";"0";"0";"0"
"223";"Hutte d'Hagrid - puzzle 3D Wrebbit";"1";"Jeux et puzzles";"";"0";"";"0";"W3D0512";"17.49";"";"";"34.95";"0.200";"0.00";"0";"0";"0"
