ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Confiance;Conseil
"2128";"Peluche Patronus Lièvre ";"NN8455";"14.30";"29.95";"2.09";"42.7%";"29.90";"29.99";"29.95";"29.90";"-";"29.95";"29.99";"1.16";"Marge faible (Vérifier)"
"2129";"Peluche Patronus Cerf ";"NN8451";"14.30";"29.95";"2.09";"42.7%";"29.90";"29.99";"29.95";"29.90";"-";"29.95";"29.99";"1.15";"Marge faible (Vérifier)"
"2131";"Peluche Patronus Phénix ";"NN8452";"14.30";"29.95";"2.09";"42.7%";"29.90";"29.99";"29.95";"29.90";"-";"29.95";"29.99";"1.15";"Marge faible (Vérifier)"
"2134";"Stylo baguette Luna Lovegood et support";"CR5402";"8.00";"16.95";"2.12";"43.4%";"16.95";"17.90";"17.21";"17.90";"16.99";"16.95";"16.99";"0.80";"Marge faible (Vérifier)"
"2136";"Mug Heat Change - 460 ml - Lettre ";"ABYMUG919";"7.49";"14.99";"2.00";"40.0%";"16.99";"19.90";"18.45";"19.90";"16.99";"-";"-";"0.73";"Opportunité (Augmenter !)"
"2141";"Bouteille Dobby is free 500ml";"CR4027";"9.99";"21.95";"2.20";"45.4%";"20.90";"22.99";"22.19";"20.90";"21.99";"22.90";"22.99";"0.84";"Marge faible (Vérifier)"
"2142";"Bouteille Luna Patronus 500ml";"CR4028";"9.50";"19.95";"2.10";"42.9%";"19.99";"21.90";"20.95";"21.90";"19.99";"-";"-";"0.89";"Marge faible (Vérifier)"
"2143";"Bouteille Luna Chicaneur 500ml ";"CR4029";"9.50";"19.95";"2.10";"42.9%";"21.90";"21.99";"21.95";"21.90";"21.99";"-";"-";"0.90";"Marge faible (Vérifier)"
"2144";"Collier Retourneur de temps tournant 30 mm";"EWN0097";"9.85";"19.99";"2.03";"40.9%";"15.00";"21.99";"19.97";"21.90";"21.99";"15.00";"20.99";"0.86";"Marge faible (Vérifier)"
"2145";"Bouteille 500ml - Voie 9 3/4";"MAP4000MINI";"5.95";"12.95";"2.18";"44.9%";"12.90";"14.90";"13.60";"12.90";"12.99";"14.90";"-";"0.70";"Marge faible (Vérifier)"
"2152";"Porte-monnaie Honeydukes";"PURSHP23";"8.90";"18.00";"2.02";"40.7%";"12.90";"19.99";"16.45";"19.90";"12.99";"12.90";"19.99";"0.80";"Marge faible (Vérifier)"
"2153";"Sacoche - Chemin de Traverse";"BAGMHP14 ";"21.00";"39.90";"1.90";"36.8%";"34.90";"49.90";"41.60";"34.90";"39.99";"49.90";"-";"0.72";"Marge faible (Vérifier)"
"2157";"Porte-monnaie Hedwige";"PURSHP04";"8.29";"16.90";"2.04";"41.1%";"11.90";"19.99";"17.20";"19.90";"16.99";"11.90";"19.99";"0.65";"Marge faible (Vérifier)"
"2158";"Porte-monnaie Poudlard";"PURSHP06";"7.95";"15.99";"2.01";"40.3%";"14.90";"17.00";"15.97";"14.90";"14.99";"17.00";"16.99";"0.78";"Marge faible (Vérifier)"
"2159";"Boule à neige - Dobby";"SGHP09 ";"15.75";"29.90";"1.90";"36.8%";"27.90";"34.90";"30.43";"34.90";"28.95";"27.90";"29.99";"0.90";"Marge faible (Vérifier)"
"2160";"Boule à neige - Hedwige";"SGHP08 ";"15.95";"32.99";"2.07";"42.0%";"29.95";"34.90";"31.61";"34.90";"-";"29.95";"29.99";"1.04";"Marge faible (Vérifier)"
"2161";"Boule à neige - Plateforme 9 3/4";"SGHP03 ";"15.75";"29.90";"1.90";"36.8%";"27.90";"34.90";"30.43";"34.90";"28.95";"27.90";"29.99";"0.77";"Marge faible (Vérifier)"
"2163";"Panneau métal - Ministère de la Magie";"SSA5HP08";"3.65";"9.90";"2.71";"55.8%";"7.99";"7.99";"7.99";"-";"-";"-";"7.99";"0.73";"Trop cher (Baisser !)"
"2164";"Pin's Wingardium Leviosa";"PBADHP72";"2.10";"4.99";"2.38";"49.5%";"6.90";"6.90";"6.90";"6.90";"-";"6.90";"-";"0.78";"Opportunité (Augmenter !)"
"2165";"Pin's - Préfet Gryffondor";"PBADHP50";"3.29";"7.99";"2.43";"50.6%";"6.90";"8.99";"7.93";"7.91";"8.99";"6.90";"-";"0.67";"RAS"
"2166";"Pin's - Préfet Poufsouffle";"PBADHP51";"2.24";"7.99";"3.57";"66.4%";"7.90";"8.99";"8.29";"7.90";"8.99";"-";"7.99";"0.76";"RAS"
"2167";"Pin's - Préfet Serpentard";"PBADHP53";"2.10";"7.99";"3.80";"68.5%";"7.91";"8.99";"8.45";"7.91";"8.99";"-";"-";"0.69";"RAS"
"2168";"Pin's - Headmaster";"PBADHP60";"2.10";"4.99";"2.38";"49.5%";"6.90";"6.90";"6.90";"-";"-";"6.90";"-";"0.67";"Opportunité (Augmenter !)"
"2170";"Pin's - Préfet Serdaigle";"PBADHP52";"2.10";"7.99";"3.80";"68.5%";"7.90";"8.99";"8.27";"7.91";"8.99";"7.90";"-";"0.69";"RAS"
"2171";"Grande peluche Dobby ";"NN7216";"23.40";"44.95";"1.92";"37.5%";"44.95";"46.90";"45.45";"46.90";"44.99";"44.95";"44.95";"1.05";"Marge faible (Vérifier)"
"2176";"Figurines Gomee - Harry Coupe des trois sorciers";"CR5058";"3.19";"6.95";"2.18";"44.9%";"7.99";"7.99";"7.99";"-";"-";"-";"7.99";"0.67";"Opportunité (Augmenter !)"
"2178";"Figurines Gomee - Display Professeur Minerva McGonagall ";"CR5061";"3.19";"6.95";"2.18";"44.9%";"7.99";"7.99";"7.99";"-";"-";"-";"7.99";"0.65";"Opportunité (Augmenter !)"
"2181";"Figurines Gomee - Display Neville Londubat ";"CR5063";"3.19";"6.95";"2.18";"44.9%";"7.99";"7.99";"7.99";"-";"-";"-";"7.99";"0.67";"Opportunité (Augmenter !)"
"2182";"Hogwarts Legacy - Le guide du jeu";"J04652";"9.88";"14.90";"1.51";"20.4%";"12.00";"14.90";"13.45";"-";"14.90";"12.00";"-";"0.92";"Marge faible (Vérifier)"
"2183";"Puzzle Panorama Portraits (1000 pièces)";"CLMT39639";"8.00";"20.00";"2.50";"52.0%";"19.90";"19.99";"19.96";"19.90";"19.99";"-";"19.99";"0.68";"RAS"
"2184";"POP Albus Dumbledore Holiday DIY Special Edition 9 cm ";"FK57975";"8.94";"19.95";"2.23";"46.2%";"16.99";"16.99";"16.99";"-";"16.99";"-";"-";"0.65";"Trop cher (Baisser !)"
"2185";"Boule à neige Hedwige et choixpeau";"B5959V2";"32.50";"64.99";"2.00";"40.0%";"79.90";"79.90";"79.90";"79.90";"-";"-";"-";"0.64";"Opportunité (Augmenter !)"
"2186";"Carnet A5 Emblème de Poudlard";"BSSHP712572";"2.31";"9.90";"4.29";"72.0%";"11.00";"12.90";"11.95";"-";"-";"12.90";"11.00";"0.63";"RAS"
"2189";"Set bloc-notes peluche Hedwig ";"BSSHP713524";"11.36";"22.00";"1.94";"38.0%";"21.99";"25.90";"24.29";"25.90";"24.99";"-";"21.99";"0.65";"Marge faible (Vérifier)"
"2190";"Stylo multi-couleurs Vif d'Or";"BSSHP713586";"3.85";"7.90";"2.05";"41.5%";"7.90";"7.90";"7.90";"7.90";"-";"-";"-";"0.82";"Marge faible (Vérifier)"
"2191";"Puzzle pour enfants XXL Poudlard (300 pièces)";"RAVE13365";"7.89";"16.00";"2.03";"40.8%";"14.99";"19.99";"17.32";"19.99";"14.99";"-";"16.99";"0.63";"Marge faible (Vérifier)"
"2192";"Carnet rigide et marque-page - Hermione et ses sorts";"MAP5104";"7.90";"17.95";"2.27";"47.2%";"16.99";"17.99";"17.64";"-";"16.99";"17.95";"17.99";"0.93";"RAS"
"2193";"Carnet souple - Dobby";"MAP5162";"3.40";"8.95";"2.63";"54.4%";"8.99";"8.99";"8.99";"-";"8.99";"-";"-";"0.78";"RAS"
"2206";"Harry Potter à l'école des sorciers - poche";"J04437";"5.94";"8.95";"1.51";"20.4%";"8.95";"9.30";"9.07";"-";"9.30";"8.95";"8.95";"0.89";"Marge faible (Vérifier)"
"2207";"Harry Potter et la chambre des secrets - poche";"J04438";"6.17";"9.30";"1.51";"20.4%";"9.30";"9.90";"9.67";"-";"9.80";"9.30";"9.90";"0.79";"Marge faible (Vérifier)"
"2208";"Harry Potter et le prisonnier d'Askaban - poche";"J04439";"7.17";"10.80";"1.51";"20.3%";"9.90";"11.90";"10.87";"-";"9.90";"10.80";"11.90";"0.84";"Marge faible (Vérifier)"
"2209";"Harry Potter et la coupe de feu - poche";"J04440";"10.22";"15.40";"1.51";"20.4%";"14.90";"16.00";"15.45";"-";"16.00";"14.90";"-";"0.69";"Marge faible (Vérifier)"
"2210";"Harry Potter et l'ordre du phoenix - poche";"J04441";"10.89";"16.40";"1.51";"20.3%";"15.90";"16.00";"15.93";"-";"16.00";"15.90";"15.90";"0.73";"Marge faible (Vérifier)"
"2211";"Harry Potter et le prince de sang mêlé - poche";"J04442";"9.88";"14.90";"1.51";"20.4%";"14.90";"15.50";"15.10";"-";"14.90";"14.90";"15.50";"0.79";"Marge faible (Vérifier)"
"2212";"Harry Potter et les reliques de la mort - poche";"J04443";"10.55";"15.90";"1.51";"20.4%";"13.90";"20.99";"16.67";"13.90";"15.90";"15.90";"20.99";"0.73";"Marge faible (Vérifier)"
"2215";"Bouteille Honeydukes 500ml ";"CR4025";"9.99";"21.95";"2.20";"45.4%";"20.90";"22.90";"21.93";"20.90";"21.99";"22.90";"-";"1.05";"Marge faible (Vérifier)"
"2216";"Crayon à papier Carte du Maraudeur";"EHPPCL118";"0.65";"1.80";"2.77";"56.7%";"1.30";"2.00";"1.76";"1.30";"1.99";"-";"2.00";"0.97";"RAS"
"2217";"Charm Fumseck ";"EHP000113";"3.45";"7.99";"2.32";"48.2%";"7.99";"7.99";"7.99";"-";"-";"-";"7.99";"0.69";"RAS"
"2218";"Charm Diadème de Serdaigle ";"EHP000124";"3.45";"7.99";"2.32";"48.2%";"7.90";"7.99";"7.93";"7.90";"-";"7.90";"7.99";"0.81";"RAS"
"2219";" Puces d’oreille Fumseck ";"EWES00113";"3.75";"8.99";"2.40";"49.9%";"11.99";"11.99";"11.99";"-";"-";"-";"11.99";"0.78";"Opportunité (Augmenter !)"
"2220";"Le grand livre d'activités de Poudlard";"J04551";"6.36";"10.90";"1.71";"30.0%";"9.90";"10.90";"10.15";"9.90";"9.90";"9.90";"10.90";"1.02";"Marge faible (Vérifier)"
"2221";"Les 4 maisons - Le journal créatif";"J04552";"5.78";"9.90";"1.71";"29.9%";"8.90";"8.90";"8.90";"-";"-";"8.90";"8.90";"0.78";"Trop cher (Baisser !)"
